id,number,nationwide_number,name,sex,year_of_birth,nationality,military_civilian,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,hours_mission,total_hrs_sum
444,208,65,"Solovyev, Anatoly",male,1948,U.S.S.R/Russia,military,1976,3,5,commander,1993,12,4533.0,15624.03
445,208,65,"Solovyev, Anatoly",male,1948,U.S.S.R/Russia,military,1976,4,5,commander,1995,19,1811.0,15624.03
446,208,65,"Solovyev, Anatoly",male,1948,U.S.S.R/Russia,military,1976,5,5,commander,1997,24,4745.0,15624.03
447,209,2,"Aleksandrov, Aleksandr",male,1951,Bulgaria,military,1978,1,1,pilot,1988,2,47.0,47.0
448,210,66,"Polyakov, Valeri",male,1942,U.S.S.R/Russia,civilian,1972,1,2,flight engineer,1988,3,5782.0,16288.53
449,210,66,"Polyakov, Valeri",male,1942,U.S.S.R/Russia,civilian,1972,2,2,MSP,1994,15,10505.0,16288.53
450,211,1,"Mohmand, Abdul Ahad",male,1959,Afghanistan,military,1988,1,1,MSP,1988,3,212.0,212.0
451,212,67,"Krikalev, Sergei",male,1958,U.S.S.R/Russia,civilian,1985,1,6,flight engineer,1988,4,3635.0,19281.65
452,212,67,"Krikalev, Sergei",male,1958,U.S.S.R/Russia,civilian,1985,2,6,flight engineer,1991,9,7484.0,19281.65
453,212,67,"Krikalev, Sergei",male,1958,U.S.S.R/Russia,civilian,1985,3,6,flight engineer,1994,STS­60,199.0,19281.65
454,212,67,"Krikalev, Sergei",male,1958,U.S.S.R/Russia,civilian,1985,4,6,flight engineer,1998,STS­88,283.0,19281.65
455,212,67,"Krikalev, Sergei",male,1958,U.S.S.R/Russia,civilian,1985,5,6,flight engineer,2000,1,3383.0,19281.65
456,212,67,"Krikalev, Sergei",male,1958,U.S.S.R/Russia,civilian,1985,6,6,commander,2005,11,4296.0,19281.65
457,213,124,"Gardner, Guy S.",male,1948,U.S.,military,1980,1,2,pilot,1988,STS-27,105.0,320.16
458,213,124,"Gardner, Guy S.",male,1948,U.S.,military,1980,2,2,pilot,1990,STS-35,215.0,320.16
459,214,125,"Shepherd, William M.",male,1949,U.S.,military,1984,1,4,MSP,1988,STS-27,105.0,3721.0
460,214,125,"Shepherd, William M.",male,1949,U.S.,military,1984,2,4,MSP,1990,STS-41,98.0,3721.0
461,214,125,"Shepherd, William M.",male,1949,U.S.,military,1984,3,4,MSP,1992,STS-52,237.0,3721.0
462,214,125,"Shepherd, William M.",male,1949,U.S.,military,1984,4,4,flight engineer,2000,1,3281.0,3721.0
463,215,126,"Blaha, John E.",male,1942,U.S.,military,1980,1,5,pilot,1989,STS-29,120.0,3864.0
464,215,126,"Blaha, John E.",male,1942,U.S.,military,1980,2,5,pilot,1989,STS-33,120.0,3864.0
465,215,126,"Blaha, John E.",male,1942,U.S.,military,1980,3,5,commander,1991,STS-43,213.0,3864.0
466,215,126,"Blaha, John E.",male,1942,U.S.,military,1980,4,5,commander,1993,STS-58,336.0,3864.0
467,215,126,"Blaha, John E.",male,1942,U.S.,military,1980,5,5,MSP,1996,22,3077.0,3864.0
468,216,127,"Springer, Robert C.",male,1942,U.S.,military,1980,1,2,MSP,1989,STS-29,119.0,237.0
469,216,127,"Springer, Robert C.",male,1942,U.S.,military,1980,2,2,MSP,1990,STS-38,118.0,237.0
470,217,128,"Bagian, James P.",male,1952,U.S.,civilian,1980,1,2,MSP,1989,STS-29,120.0,338.0
471,217,128,"Bagian, James P.",male,1952,U.S.,civilian,1980,2,2,MSP,1991,STS-40,218.0,338.0
472,218,129,"Lee, Mark C.",male,1952,U.S.,military,1984,1,4,MSP,1989,STS-30,97.0,789.76
473,218,129,"Lee, Mark C.",male,1952,U.S.,military,1984,2,4,MSP,1992,STS-47,190.0,789.76
474,218,129,"Lee, Mark C.",male,1952,U.S.,military,1984,3,4,MSP,1994,STS-64,262.0,789.76
475,218,129,"Lee, Mark C.",male,1952,U.S.,military,1984,4,4,MSP,1997,STS-82,239.0,789.76
476,219,130,"Richards, Richard N.",male,1946,U.S.,military,1980,1,4,pilot,1989,STS-28,120.0,813.0
477,219,130,"Richards, Richard N.",male,1946,U.S.,military,1980,2,4,commander,1990,STS-41,96.0,813.0
478,219,130,"Richards, Richard N.",male,1946,U.S.,military,1980,3,4,commander,1992,STS-50,336.0,813.0
479,219,130,"Richards, Richard N.",male,1946,U.S.,military,1980,4,4,commander,1994,STS-64,242.0,813.0
480,220,131,"Adamson, James C.",male,1946,U.S.,military,1984,1,2,MSP,1989,STS-28,121.0,334.0
481,220,131,"Adamson, James C.",male,1946,U.S.,military,1984,2,2,MSP,1991,STS-43,213.0,334.0
482,221,132,"Brown, Mark N.",male,1951,U.S.,military,1984,1,2,MSP,1989,STS-28,121.0,249.0
483,221,132,"Brown, Mark N.",male,1951,U.S.,military,1984,2,2,MSP,1991,STS-48,128.0,249.0
484,222,133,"McCulley, Michael J.",male,1943,U.S.,military,1984,1,1,pilot,1989,STS-34,119.0,119.0
485,223,134,"Baker, Ellen S.",female,1953,U.S.,civilian,1984,1,3,MSP,1989,STS-34,120.0,686.0
486,223,134,"Baker, Ellen S.",female,1953,U.S.,civilian,1984,2,3,MSP,1992,STS-50,331.0,686.0
487,223,134,"Baker, Ellen S.",female,1953,U.S.,civilian,1984,3,3,MSP,1995,STS-71,235.0,686.0
488,224,135,"Carter, Manley Lanier, Jr.",male,1947,U.S.,military,1984,1,1,MSP,1989,STS-33,120.0,120.0
489,225,136,"Thornton, Kathryn C.",female,1952,U.S.,civilian,1984,1,4,MSP,1989,STS-33,120.0,975.23
490,225,136,"Thornton, Kathryn C.",female,1952,U.S.,civilian,1984,2,4,MSP,1992,STS-49,213.0,975.23
491,225,136,"Thornton, Kathryn C.",female,1952,U.S.,civilian,1984,3,4,MSP,1993,STS-61,264.0,975.23
492,225,136,"Thornton, Kathryn C.",female,1952,U.S.,civilian,1984,4,4,MSP,1995,STS-73,360.0,975.23
493,226,137,"Wetherbee, James D.",male,1952,U.S.,military,1984,1,6,pilot,1990,STS-32,261.0,1594.38
494,226,137,"Wetherbee, James D.",male,1952,U.S.,military,1984,2,6,commander,1992,STS-52,236.0,1594.38
495,226,137,"Wetherbee, James D.",male,1952,U.S.,military,1984,3,6,commander,1995,STS-63,198.0,1594.38
496,226,137,"Wetherbee, James D.",male,1952,U.S.,military,1984,4,6,commander,1997,STS-86,259.0,1594.38
497,226,137,"Wetherbee, James D.",male,1952,U.S.,military,1984,5,6,commander,2001,STS-102,307.0,1594.38
498,226,137,"Wetherbee, James D.",male,1952,U.S.,military,1984,6,6,commander,2002,STS-113,330.0,1594.38
499,227,138,"Ivins, Marsha S.",female,1951,U.S.,civilian,1984,1,5,MSP,1990,STS-32,261.0,1341.8
500,227,138,"Ivins, Marsha S.",female,1951,U.S.,civilian,1984,2,5,MSP,1992,STS-46,191.0,1341.8
501,227,138,"Ivins, Marsha S.",female,1951,U.S.,civilian,1984,3,5,MSP,1994,STS-62,335.0,1341.8
502,227,138,"Ivins, Marsha S.",female,1951,U.S.,civilian,1984,4,5,MSP,1997,STS-81,244.0,1341.8
503,227,138,"Ivins, Marsha S.",female,1951,U.S.,civilian,1984,5,5,MSP,2001,STS-98,309.0,1341.8
504,228,139,"Low, G. David",male,1956,U.S.,civilian,1984,1,3,MSP,1990,STS-32,261.0,713.0
505,228,139,"Low, G. David",male,1956,U.S.,civilian,1984,2,3,MSP,1991,STS-43,213.0,713.0
506,228,139,"Low, G. David",male,1956,U.S.,civilian,1984,3,3,MSP,1993,STS-57,239.0,713.0
507,229,68,"Balandin, Aleksandr",male,1953,U.S.S.R/Russia,civilian,1978,1,1,flight engineer,1990,6,4297.0,4297.28
508,230,140,"Casper, John H.",male,1943,U.S.,military,1984,1,4,pilot,1990,STS-36,106.0,825.0
509,230,140,"Casper, John H.",male,1943,U.S.,military,1984,2,4,commander,1993,STS-54,143.0,825.0
510,230,140,"Casper, John H.",male,1943,U.S.,military,1984,3,4,commander,1994,STS-62,335.0,825.0
511,230,140,"Casper, John H.",male,1943,U.S.,military,1984,4,4,commander,1996,STS-77,241.0,825.0
512,231,141,"Thuot, Pierre J.",male,1955,U.S.,military,1985,1,3,MSP,1990,STS-36,106.0,654.85
513,231,141,"Thuot, Pierre J.",male,1955,U.S.,military,1985,2,3,MSP,1992,STS-49,213.0,654.85
514,231,141,"Thuot, Pierre J.",male,1955,U.S.,military,1985,3,3,MSP,1994,STS-62,335.0,654.85
515,232,69,"Manakov, Gennadi",male,1950,U.S.S.R/Russia,military,1985,1,2,commander,1990,7,3140.0,7437.3
516,232,69,"Manakov, Gennadi",male,1950,U.S.S.R/Russia,military,1985,2,2,commander,1993,13,4296.0,7437.3
517,233,142,"Cabana, Robert D.",male,1949,U.S.,military,1985,1,4,pilot,1990,STS-41,98.0,910.0
518,233,142,"Cabana, Robert D.",male,1949,U.S.,military,1985,2,4,pilot,1992,STS-53,175.0,910.0
519,233,142,"Cabana, Robert D.",male,1949,U.S.,military,1985,3,4,commander,1994,STS-65,354.0,910.0
520,233,142,"Cabana, Robert D.",male,1949,U.S.,military,1985,4,4,commander,1998,STS-88,283.0,910.0
521,234,143,"Melnick, Bruce E.",male,1949,U.S.,military,1987,1,2,MSP,1990,STS-41,98.0,311.0
522,234,143,"Melnick, Bruce E.",male,1949,U.S.,military,1987,2,2,MSP,1992,STS-49,213.0,311.0
523,235,144,"Akers, Thomas D.",male,1951,U.S.,military,1987,1,4,MSP,1990,STS-41,98.0,814.0
524,235,144,"Akers, Thomas D.",male,1951,U.S.,military,1987,2,4,MSP,1992,STS-49,213.0,814.0
525,235,144,"Akers, Thomas D.",male,1951,U.S.,military,1987,3,4,MSP,1993,STS-61,260.0,814.0
526,235,144,"Akers, Thomas D.",male,1951,U.S.,military,1987,4,4,MSP,1996,STS-79,243.0,814.0
527,236,145,"Culbertson, Frank L., Jr.",male,1949,U.S.,military,1984,1,3,pilot,1990,STS-38,118.0,3447.0
528,236,145,"Culbertson, Frank L., Jr.",male,1949,U.S.,military,1984,2,3,commander,1993,STS-51,236.0,3447.0
529,236,145,"Culbertson, Frank L., Jr.",male,1949,U.S.,military,1984,3,3,commander,2001,3,3093.0,3447.0
530,237,146,"Meade, Carl J.",male,1950,U.S.,military,1985,1,3,MSP,1990,STS-38,117.0,710.0
531,237,146,"Meade, Carl J.",male,1950,U.S.,military,1985,2,3,MSP,1992,STS-50,331.0,710.0
532,237,146,"Meade, Carl J.",male,1950,U.S.,military,1985,3,3,MSP,1994,STS-64,262.0,710.0
533,238,147,"Gemar, Charles D.",male,1955,U.S.,military,1985,1,3,MSP,1990,STS-38,118.0,581.5
534,238,147,"Gemar, Charles D.",male,1955,U.S.,military,1985,2,3,MSP,1991,STS-48,128.5,581.5
535,238,147,"Gemar, Charles D.",male,1955,U.S.,military,1985,3,3,MSP,1994,STS-62,335.0,581.5
536,239,148,"Durrance, Samuel Thornton",male,1943,U.S.,civilian,1984,1,2,PSP,1990,Astro-1,215.15,614.69
537,239,148,"Durrance, Samuel Thornton",male,1943,U.S.,civilian,1984,2,2,PSP,1995,Astro-2,399.54,614.69
538,240,149,"Parise, Ronald Anthony",male,1951,U.S.,civilian,1984,1,2,PSP,1990,STS-35,215.15,614.69
539,240,149,"Parise, Ronald Anthony",male,1951,U.S.,civilian,1984,2,2,PSP,1995,STS-67,399.54,614.69
540,241,70,"Afanasyev, Viktor Mikhaylovich",male,1948,U.S.S.R/Russia,military,1985,1,4,commander,1991,8,4201.0,13338.55
541,241,70,"Afanasyev, Viktor Mikhaylovich",male,1948,U.S.S.R/Russia,military,1985,2,4,commander,1994,15,4368.0,13338.55
542,241,70,"Afanasyev, Viktor Mikhaylovich",male,1948,U.S.S.R/Russia,military,1985,3,4,commander,1999,27,4532.0,13338.55
543,241,70,"Afanasyev, Viktor Mikhaylovich",male,1948,U.S.S.R/Russia,military,1985,4,4,commander,2001,Soyuz TM­33/32,236.208,13338.55
544,242,1,"Akiyama, Toyohiro",male,1942,Japan,civilian,1989,1,1,Other (Journalist),1990,Soyuz TM-11/10,189.9,189.9
545,243,150,"Cameron, Kenneth D.",male,1949,U.S.,military,1984,1,3,pilot,1991,STS-37,143.0,561.0
546,243,150,"Cameron, Kenneth D.",male,1949,U.S.,military,1984,2,3,commander,1993,STS-56,222.0,561.0
547,243,150,"Cameron, Kenneth D.",male,1949,U.S.,military,1984,3,3,commander,1995,STS-74,196.0,561.0
548,244,151,"Godwin, Linda M.",female,1952,U.S.,civilian,1985,1,4,MSP,1991,STS-37,143.5,917.99
549,244,151,"Godwin, Linda M.",female,1952,U.S.,civilian,1985,2,4,MSP,1994,STS-59,269.82,917.99
550,244,151,"Godwin, Linda M.",female,1952,U.S.,civilian,1985,3,4,MSP,1996,STS-76,221.67,917.99
551,244,151,"Godwin, Linda M.",female,1952,U.S.,civilian,1985,4,4,MSP,2001,STS-108,283.0,917.99
552,245,152,"Apt, Jerome",male,1949,U.S.,civilian,1985,1,4,MSP,1991,STS-37,143.5,847.0
553,245,152,"Apt, Jerome",male,1949,U.S.,civilian,1985,2,4,MSP,1992,STS-47,190.5,847.0
554,245,152,"Apt, Jerome",male,1949,U.S.,civilian,1985,3,4,MSP,1994,STS-59,270.0,847.0
555,245,152,"Apt, Jerome",male,1949,U.S.,civilian,1985,4,4,MSP,1996,STS-79,243.0,847.0
556,246,153,"Hammond, L. Blaine, Jr.",male,1952,U.S.,military,1984,1,2,pilot,1991,STS-39,199.0,461.0
557,246,153,"Hammond, L. Blaine, Jr.",male,1952,U.S.,military,1984,2,2,pilot,1994,STS-64,262.0,461.0
558,247,154,"Harbaugh, Gregory J.",male,1956,U.S.,civilian,1987,1,4,MSP,1991,STS-39,199.0,816.0
559,247,154,"Harbaugh, Gregory J.",male,1956,U.S.,civilian,1987,2,4,MSP,1993,STS-54,143.0,816.0
560,247,154,"Harbaugh, Gregory J.",male,1956,U.S.,civilian,1987,3,4,MSP,1995,STS-71,235.0,816.0
561,247,154,"Harbaugh, Gregory J.",male,1956,U.S.,civilian,1987,4,4,MSP,1997,STS-82,239.0,816.0
562,248,155,"McMonagle, Donald R.",male,1952,U.S.,military,1987,1,3,MSP,1991,STS-39,199.0,604.0
563,248,155,"McMonagle, Donald R.",male,1952,U.S.,military,1987,2,3,pilot,1993,STS-54,143.0,604.0
564,248,155,"McMonagle, Donald R.",male,1952,U.S.,military,1987,3,3,commander,1994,STS-66,262.0,604.0
565,249,155,"Veach, Charles Lacy",male,1944,U.S.,civilian,1984,1,2,MSP,1991,STS-39,192.0,436.3
566,249,155,"Veach, Charles Lacy",male,1944,U.S.,civilian,1984,2,2,MSP,1992,STS-52,240.0,436.3
567,250,157,"Hieb, Richard J.",male,1955,U.S.,civilian,1985,1,3,MSP,1991,STS-39,199.0,765.0
568,250,157,"Hieb, Richard J.",male,1955,U.S.,civilian,1985,2,3,MSP,1992,STS-49,213.0,765.0
569,250,157,"Hieb, Richard J.",male,1955,U.S.,civilian,1985,3,3,MSP,1994,STS-65,353.0,765.0
570,251,71,"Artsebarsky, Anatoly",male,1956,U.S.S.R/Russia,military,1985,1,1,commander,1991,9,3471.0,3471.35
571,252,1,Helen Sharman,female,1963,U.K.,civilian,1989,1,1,MSP,1991,Soyuz TM-12/11,189.22,189.22
572,253,158,"Gutierrez, Sidney M.",male,1951,U.S.,military,1984,1,2,MSP,1991,STS-40,218.0,487.0
573,253,158,"Gutierrez, Sidney M.",male,1951,U.S.,military,1984,2,2,commander,1994,STS-59,269.0,487.0
574,254,159,"Jernigan, Tamara E.",female,1959,U.S.,civilian,1985,1,5,MSP,1991,STS-40,218.0,1511.0
575,254,159,"Jernigan, Tamara E.",female,1959,U.S.,civilian,1985,2,5,MSP,1992,STS-52,236.0,1511.0
576,254,159,"Jernigan, Tamara E.",female,1959,U.S.,civilian,1985,3,5,MSP,1995,STS-67,399.0,1511.0
577,254,159,"Jernigan, Tamara E.",female,1959,U.S.,civilian,1985,4,5,MSP,1996,STS-80,423.0,1511.0
578,254,159,"Jernigan, Tamara E.",female,1959,U.S.,civilian,1985,5,5,MSP,1999,STS-96,235.0,1511.0
579,255,160,"Gaffney, Andrew",male,1946,U.S.,civilian,1984,1,1,PSP,1991,STS-40,218.0,218.0
580,256,161,"Hughes-Fulford, Millie Elizabeth",female,1945,U.S.,civilian,1983,1,1,PSP,1991,STS-40,218.37,218.37
581,257,162,"Baker, Michael A.",male,1953,U.S.,military,1985,1,4,pilot,1991,STS-43,213.0,965.0
582,257,162,"Baker, Michael A.",male,1953,U.S.,military,1985,2,4,pilot,1992,STS-52,237.0,965.0
583,257,162,"Baker, Michael A.",male,1953,U.S.,military,1985,3,4,commander,1994,STS-68,270.0,965.0
584,257,162,"Baker, Michael A.",male,1953,U.S.,military,1985,4,4,commander,1997,STS-81,245.0,965.0
585,258,163,"Reightler, Kenneth S., Jr.",male,1951,U.S.,military,1987,1,2,pilot,1991,STS-48,120.0,312.0
586,258,163,"Reightler, Kenneth S., Jr.",male,1951,U.S.,military,1987,2,2,pilot,1994,STS-60,192.0,312.0
587,259,72,"Aubakirov, Toktar",male,1946,U.S.S.R/Russia,military,1991,1,1,MSP,1991,10,190.0,190.2
588,260,1,"Viehbock, Franz",male,1960,Austria,civilian,1989,1,1,MSP,1991,Soyuz TM13/12,190.2,190.2
589,261,164,"Henricks, Terence T.",male,1952,U.S.,military,1985,1,4,pilot,1991,STS-44,166.0,190.75
590,261,164,"Henricks, Terence T.",male,1952,U.S.,military,1985,2,4,pilot,1993,STS-55,239.0,190.75
591,261,164,"Henricks, Terence T.",male,1952,U.S.,military,1985,3,4,commander,1995,STS-70,214.0,190.75
592,261,164,"Henricks, Terence T.",male,1952,U.S.,military,1985,4,4,commander,1996,STS-78,405.0,190.75
593,262,165,"Voss, James S.",male,1949,U.S.,military,1987,1,5,MSP,1991,STS-44,166.0,1000.0
594,262,165,"Voss, James S.",male,1949,U.S.,military,1987,2,5,MSP,1992,STS-53,175.0,1000.0
595,262,165,"Voss, James S.",male,1949,U.S.,military,1987,3,5,MSP,1995,STS-69,260.0,1000.0
596,262,165,"Voss, James S.",male,1949,U.S.,military,1987,4,5,MSP,2000,STS-101,236.0,1000.0
597,262,165,"Voss, James S.",male,1949,U.S.,military,1987,5,5,MSP,2001,2,163.0,1000.0
598,263,166,"Runco, Mario, Jr.",male,1952,U.S.,military,1987,1,3,MSP,1991,STS-44,166.0,549.0
599,263,166,"Runco, Mario, Jr.",male,1952,U.S.,military,1987,2,3,MSP,1993,STS-54,143.0,549.0
600,263,166,"Runco, Mario, Jr.",male,1952,U.S.,military,1987,3,3,MSP,1996,STS-77,240.0,549.0
601,264,167,"Hennen, Thomas John",male,1952,U.S.,military,1988,1,1,PSP,1991,STS-44,167.11,167.11
602,265,168,"Oswald, Stephen S.",male,1951,U.S.,military,1985,1,3,pilot,1992,STS-42,193.0,814.0
603,265,168,"Oswald, Stephen S.",male,1951,U.S.,military,1985,2,3,pilot,1993,STS-67,222.0,814.0
604,265,168,"Oswald, Stephen S.",male,1951,U.S.,military,1985,3,3,commander,1995,STS-42,399.0,814.0
605,266,169,"Readdy, William F.",male,1952,U.S.,civilian,1987,1,3,MSP,1992,STS-42,193.0,672.0
606,266,169,"Readdy, William F.",male,1952,U.S.,civilian,1987,2,3,pilot,1993,STS-51,236.0,672.0
607,266,169,"Readdy, William F.",male,1952,U.S.,civilian,1987,3,3,commander,1996,STS-79,243.0,672.0
608,267,2,"Bondar, Roberta Lynn",female,1945,Canada,civilian,1983,1,1,PSP,1992,STS-42,193.77,193.77
609,268,73,"Kaleri, Aleksandr",male,1956,U.S.S.R/Russia,civilian,1984,1,5,flight engineer,1992,11,3494.0,18462.62
610,268,73,"Kaleri, Aleksandr",male,1956,U.S.S.R/Russia,civilian,1984,2,5,flight engineer,1996,21,4721.0,18462.62
611,268,73,"Kaleri, Aleksandr",male,1956,U.S.S.R/Russia,civilian,1984,3,5,flight engineer,2000,28,1747.0,18462.62
612,268,73,"Kaleri, Aleksandr",male,1956,U.S.S.R/Russia,civilian,1984,4,5,flight engineer,2003,8,4674.0,18462.62
613,268,73,"Kaleri, Aleksandr",male,1956,U.S.S.R/Russia,civilian,1984,5,5,flight engineer,2010,25,3824.0,18462.62
614,269,4,"Flade, Klaus-Dietrich",male,1952,Germany,military,1990,1,1,MSP,1992,Soyuz TM-14/13,189.95,189.95
615,270,170,"Duffy, Brian",male,1953,U.S.,military,1985,1,4,pilot,1992,STS-45,214.0,976.0
616,270,170,"Duffy, Brian",male,1953,U.S.,military,1985,2,4,pilot,1993,STS-57,240.0,976.0
617,270,170,"Duffy, Brian",male,1953,U.S.,military,1985,3,4,commander,1996,STS-72,214.0,976.0
618,270,170,"Duffy, Brian",male,1953,U.S.,military,1985,4,4,commander,2000,STS-92,310.0,976.0
619,271,171,"Foale, C. Michael",male,1957,U.S.,civilian,1987,1,6,MSP,1992,STS-45,214.0,8976.0
620,271,171,"Foale, C. Michael",male,1957,U.S.,civilian,1987,2,6,MSP,1993,STS-56,222.0,8976.0
621,271,171,"Foale, C. Michael",male,1957,U.S.,civilian,1987,3,6,MSP,1995,STS-63,198.5,8976.0
622,271,171,"Foale, C. Michael",male,1957,U.S.,civilian,1987,4,6,MSP,1997,23,3470.0,8976.0
623,271,171,"Foale, C. Michael",male,1957,U.S.,civilian,1987,5,6,MSP,1999,STS-103,191.0,8976.0
624,271,171,"Foale, C. Michael",male,1957,U.S.,civilian,1987,6,6,commander,2003,8,4674.5,8976.0
625,272,1,"Frimout, David",male,1941,Belgium,civilian,1985,1,1,PSP,1992,STS-45,214.15,214.15
626,273,172,"Chilton, Kevin P.",male,1954,U.S.,military,1987,1,3,pilot,1992,STS-49,213.0,704.0
627,273,172,"Chilton, Kevin P.",male,1954,U.S.,military,1987,2,3,pilot,1994,STS-59,270.0,704.0
628,273,172,"Chilton, Kevin P.",male,1954,U.S.,military,1987,3,3,commander,1996,STS-76,221.0,704.0
629,274,173,"Bowersox, Kenneth D.",male,1956,U.S.,military,1987,1,5,pilot,1992,STS-50,331.0,5304.0
630,274,173,"Bowersox, Kenneth D.",male,1956,U.S.,military,1987,2,5,pilot,1993,STS-61,260.0,5304.0
631,274,173,"Bowersox, Kenneth D.",male,1956,U.S.,military,1987,3,5,commander,1995,STS-73,382.0,5304.0
632,274,173,"Bowersox, Kenneth D.",male,1956,U.S.,military,1987,4,5,commander,1997,STS-82,239.0,5304.0
633,274,173,"Bowersox, Kenneth D.",male,1956,U.S.,military,1987,5,5,commander,2002,6,3865.0,5304.0
634,275,174,"DeLucas, Lawrence James",male,1950,U.S.,civilian,1990,1,1,PSP,1992,STS-50,331.53,331.53
635,276,175,"Trinh, Eugene Huu-Chau",male,1950,U.S.,civilian,1983,1,1,PSP,1992,STS-50,331.53,331.53
636,277,74,"Avdeyev, Sergei",male,1956,U.S.S.R/Russia,civilian,1987,1,3,flight engineer,1993,12,4533.0,17942.23
637,277,74,"Avdeyev, Sergei",male,1956,U.S.S.R/Russia,civilian,1987,2,3,flight engineer,1995,20,4297.0,17942.23
638,277,74,"Avdeyev, Sergei",male,1956,U.S.S.R/Russia,civilian,1987,3,3,flight engineer,1998,26,9110.0,17942.23
639,278,3,"Tognini, Michel",male,1949,France,military,1985,1,2,MSP,1992,Antares,331.0,449.77
640,278,3,"Tognini, Michel",male,1949,France,military,1985,2,2,MSP,1999,STS-93,118.8,449.77
641,279,176,"Allen, Andrew M.",male,1955,U.S.,military,1987,1,3,pilot,1992,STS-46,191.0,904.0
642,279,176,"Allen, Andrew M.",male,1955,U.S.,military,1987,2,3,pilot,1994,STS-62,335.0,904.0
643,279,176,"Allen, Andrew M.",male,1955,U.S.,military,1987,3,3,commander,1996,STS-75,378.0,904.0
644,280,1,"Nicollier, Claude",male,1944,Switzerland,civilian,1978,1,4,PSP,1992,STS-46,191.25,1184.07
645,280,1,"Nicollier, Claude",male,1944,Switzerland,civilian,1978,2,4,PSP,1993,STS-61-A,259.97,1184.07
646,280,1,"Nicollier, Claude",male,1944,Switzerland,civilian,1978,3,4,MSP,1996,STS-75,541.67,1184.07
647,280,1,"Nicollier, Claude",male,1944,Switzerland,civilian,1978,4,4,MSP,1999,STS-103,191.18,1184.07
648,281,1,Franco Malerba,male,1946,Italy,civilian,1998,1,1,PSP,1992,sts-46,191.25,191.25
649,282,177,"Brown, Curtis L., Jr.",male,1956,U.S.,military,1987,1,6,pilot,1992,STS-47,190.5,1381.0
650,282,177,"Brown, Curtis L., Jr.",male,1956,U.S.,military,1987,2,6,pilot,1994,STS-66,262.5,1381.0
651,282,177,"Brown, Curtis L., Jr.",male,1956,U.S.,military,1987,3,6,pilot,1996,STS-77,240.5,1381.0
652,282,177,"Brown, Curtis L., Jr.",male,1956,U.S.,military,1987,4,6,commander,1997,STS-85,284.5,1381.0
653,282,177,"Brown, Curtis L., Jr.",male,1956,U.S.,military,1987,5,6,commander,1998,STS-95,213.5,1381.0
654,282,177,"Brown, Curtis L., Jr.",male,1956,U.S.,military,1987,6,6,commander,1999,STS-103,191.0,1381.0
655,283,178,"Davis, Nancy Jan",female,1953,U.S.,civilian,1987,1,3,MSP,1992,STS-47,190.5,673.0
656,283,178,"Davis, Nancy Jan",female,1953,U.S.,civilian,1987,2,3,MSP,1994,STS-60,199.0,673.0
657,283,178,"Davis, Nancy Jan",female,1953,U.S.,civilian,1987,3,3,MSP,1997,STS-85,284.0,673.0
658,284,179,"Jemison, Mae C.",female,1956,U.S.,civilian,1987,1,1,MSP,1992,STS-47,190.5,190.5
659,285,2,"Mohri, Mamoru",male,1948,Japan,civilian,1985,1,2,PSP,1992,STS-47,190.5,190.5
660,285,2,"Mohri, Mamoru",male,1948,Japan,civilian,1985,2,2,MSP,2000,STS-99,269.7,190.5
661,286,3,Steven MacLean,male,1954,Canada,military,1983,1,2,PSP,1992,STS-52,236.93,520.03
662,286,3,Steven MacLean,male,1954,Canada,military,1983,2,2,MSP,2006,STS-115,283.1,520.03
663,287,180,"Clifford, Michael R.",male,1952,U.S.,military,1990,1,3,MSP,1992,STS-53,175.0,666.0
664,287,180,"Clifford, Michael R.",male,1952,U.S.,military,1990,2,3,MSP,1994,STS-59,270.0,666.0
665,287,180,"Clifford, Michael R.",male,1952,U.S.,military,1990,3,3,MSP,1996,STS-76,221.0,666.0
666,288,181,"Helms, Susan J.",female,1958,U.S.,military,1990,1,5,MSP,1993,STS-54,143.0,5054.0
667,288,181,"Helms, Susan J.",female,1958,U.S.,military,1990,2,5,MSP,1994,STS-64,262.0,5054.0
668,288,181,"Helms, Susan J.",female,1958,U.S.,military,1990,3,5,MSP,1996,STS-78,405.0,5054.0
669,288,181,"Helms, Susan J.",female,1958,U.S.,military,1990,4,5,MSP,2000,STS-101,237.0,5054.0
670,288,181,"Helms, Susan J.",female,1958,U.S.,military,1990,5,5,flight engineer,2001,2,4007.0,5054.0
671,289,75,"Poleshchuk, Aleksandr",male,1953,U.S.S.R/Russia,military,1989,1,1,flight engineer,1993,13,4296.0,4296.72
672,290,182,"Cockrell, Kenneth D.",male,1950,U.S.,civilian,1990,1,5,MSP,1993,STS-56,222.0,1560.0
673,290,182,"Cockrell, Kenneth D.",male,1950,U.S.,civilian,1990,2,5,pilot,1995,STS-69,260.5,1560.0
674,290,182,"Cockrell, Kenneth D.",male,1950,U.S.,civilian,1990,3,5,commander,1996,STS-80,424.0,1560.0
675,290,182,"Cockrell, Kenneth D.",male,1950,U.S.,civilian,1990,4,5,commander,2001,STS-98,309.0,1560.0
676,290,182,"Cockrell, Kenneth D.",male,1950,U.S.,civilian,1990,5,5,commander,2002,STS-111,333.0,1560.0
677,291,183,"Ochoa, Ellen",female,1958,U.S.,civilian,1990,1,4,MSP,1993,STS-56,222.0,978.0
